project_name,project_owner,project_creation_date,project_id,project_last_modif_date,project_xmi,project_type,project_downloaded,diagram_project_id,diagram_id,diagram_name,diagram_kind,diagram_jpeg_link,diagram_number_of_elements
Solasta2,,1656348289064,_dXHagPY4EeydvaHhUPK6Jg,1656597240068,https://app.genmymodel.com/api/projects/_dXHagPY4EeydvaHhUPK6Jg/xmi,UML,Yes,_dXHagPY4EeydvaHhUPK6Jg,_dXHag_Y4EeydvaHhUPK6Jg,Unreal Main Classes,ClassDiagram,https://app.genmymodel.com/api/projects/_dXHagPY4EeydvaHhUPK6Jg/diagrams/_dXHag_Y4EeydvaHhUPK6Jg/jpeg,240
Solasta2,,1656348289064,_dXHagPY4EeydvaHhUPK6Jg,1656597240068,https://app.genmymodel.com/api/projects/_dXHagPY4EeydvaHhUPK6Jg/xmi,UML,Yes,_dXHagPY4EeydvaHhUPK6Jg,_YKCqQNp8EDqZOJ_RSEgAuw,Gameplay Ability System,ClassDiagram,https://app.genmymodel.com/api/projects/_dXHagPY4EeydvaHhUPK6Jg/diagrams/_YKCqQNp8EDqZOJ_RSEgAuw/jpeg,124
INS HTE trgovina,,1649744106019,_5Zm3MLonEeySNfBKdUOsxw,1656591547591,https://app.genmymodel.com/api/projects/_5Zm3MLonEeySNfBKdUOsxw/xmi,UML,Yes,_5Zm3MLonEeySNfBKdUOsxw,_5ZneQbonEeySNfBKdUOsxw,usecase-diagram,UsecaseDiagram,https://app.genmymodel.com/api/projects/_5Zm3MLonEeySNfBKdUOsxw/diagrams/_5ZneQbonEeySNfBKdUOsxw/jpeg,126
INS HTE trgovina,,1649744106019,_5Zm3MLonEeySNfBKdUOsxw,1656591547591,https://app.genmymodel.com/api/projects/_5Zm3MLonEeySNfBKdUOsxw/xmi,UML,Yes,_5Zm3MLonEeySNfBKdUOsxw,_Y4Zlsc3yEDqwuYHbPfRDHw,class-diagram,ClassDiagram,https://app.genmymodel.com/api/projects/_5Zm3MLonEeySNfBKdUOsxw/diagrams/_Y4Zlsc3yEDqwuYHbPfRDHw/jpeg,265
INS HTE trgovina,,1649744106019,_5Zm3MLonEeySNfBKdUOsxw,1656591547591,https://app.genmymodel.com/api/projects/_5Zm3MLonEeySNfBKdUOsxw/xmi,UML,Yes,_5Zm3MLonEeySNfBKdUOsxw,_itfewZxeEDql0uvPTU3b0w,AD_placilo_s_kartico,ActivityDiagram,https://app.genmymodel.com/api/projects/_5Zm3MLonEeySNfBKdUOsxw/diagrams/_itfewZxeEDql0uvPTU3b0w/jpeg,156
INS HTE trgovina,,1649744106019,_5Zm3MLonEeySNfBKdUOsxw,1656591547591,https://app.genmymodel.com/api/projects/_5Zm3MLonEeySNfBKdUOsxw/xmi,UML,Yes,_5Zm3MLonEeySNfBKdUOsxw,_lmdnUMx_EDqRs_yw9cvrzw,AD_prijava_v_blagajno,ActivityDiagram,https://app.genmymodel.com/api/projects/_5Zm3MLonEeySNfBKdUOsxw/diagrams/_lmdnUMx_EDqRs_yw9cvrzw/jpeg,75
INS HTE trgovina,,1649744106019,_5Zm3MLonEeySNfBKdUOsxw,1656591547591,https://app.genmymodel.com/api/projects/_5Zm3MLonEeySNfBKdUOsxw/xmi,UML,Yes,_5Zm3MLonEeySNfBKdUOsxw,_vgCUgcx_EDqRs_yw9cvrzw,AD-sestava-racuna,ActivityDiagram,https://app.genmymodel.com/api/projects/_5Zm3MLonEeySNfBKdUOsxw/diagrams/_vgCUgcx_EDqRs_yw9cvrzw/jpeg,205
INS HTE trgovina,,1649744106019,_5Zm3MLonEeySNfBKdUOsxw,1656591547591,https://app.genmymodel.com/api/projects/_5Zm3MLonEeySNfBKdUOsxw/xmi,UML,Yes,_5Zm3MLonEeySNfBKdUOsxw,_nxZD8M3WEDqeO6IqEFmVMA,AD-povzetek-prodaje,ActivityDiagram,https://app.genmymodel.com/api/projects/_5Zm3MLonEeySNfBKdUOsxw/diagrams/_nxZD8M3WEDqeO6IqEFmVMA/jpeg,91
INS HTE trgovina,,1649744106019,_5Zm3MLonEeySNfBKdUOsxw,1656591547591,https://app.genmymodel.com/api/projects/_5Zm3MLonEeySNfBKdUOsxw/xmi,UML,Yes,_5Zm3MLonEeySNfBKdUOsxw,_jE20oM3cEDqeO6IqEFmVMA,AD-oddaja-naročila,ActivityDiagram,https://app.genmymodel.com/api/projects/_5Zm3MLonEeySNfBKdUOsxw/diagrams/_jE20oM3cEDqeO6IqEFmVMA/jpeg,109
Restaurant Bestellprogram,,1656586937738,_GyOeoPhkEeydvaHhUPK6Jg,1656587883638,https://app.genmymodel.com/api/projects/_GyOeoPhkEeydvaHhUPK6Jg/xmi,UML,Yes,_GyOeoPhkEeydvaHhUPK6Jg,_GyOeo_hkEeydvaHhUPK6Jg,usecase-diagram,UsecaseDiagram,https://app.genmymodel.com/api/projects/_GyOeoPhkEeydvaHhUPK6Jg/diagrams/_GyOeo_hkEeydvaHhUPK6Jg/jpeg,69
