User[[password, username, email, name]]-[[]]	User[[password, username, email, name]]-[[]]	Class3[[]]-[[User]]	Chief[[]]-[[User]]	Chief[[]]-[[User]]	Class3[[]]-[[User]]	Director[[]]-[[User]]	Director[[firstName]]-[[User]]	Director[[firstName, lastName]]-[[User]]	User[[password, username, email, name]]-[[Director]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email, name]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email, name]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email, id]]-[[]]	User[[password, username, email, id]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email, id]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email, userId]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email, lastname]]-[[]]	User[[password, username, email, lastname, name]]-[[]]	User[[password, username, email, lastname, name, id]]-[[]]	User[[password, username, email, lastname, name, id, firstName]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email, id]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email, id]]-[[]]	User[[password, username, email, id, userId]]-[[]]	User[[password, username, email, id, userId]]-[[]]	User[[password, username, email, id, userId]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email, id]]-[[]]	User[[password, username, email, id, userType]]-[[]]	User[[password, username, email]]-[[]]	User[[password, username, email, id]]-[[]]	User[[password, username, email, id, address]]-[[]]	User[[password, username, email, id, address]]-[[]]	User[[password, username, email, address]]-[[]]	User[[password, username, email, address, emailId]]-[[]]	Dog[[]]-[[User]]	Dog[[]]-[[User]]	Dog[[breed]]-[[User]]	Dog[[breed, gender]]-[[User]]	Dog[[breed, gender, teethCondition]]-[[User]]	Dog[[breed, gender, teethCondition]]-[[User]]	Dog[[breed, gender, teethCondition, kidFriendly]]-[[User]]	User[[password, username, email, address, emailId]]-[[Dog]]	Class2[[]]-[[]]	Room[[]]-[[]]	Room[[roomno]]-[[]]	Room[[]]-[[]]	Room[[roomNo]]-[[]]	Class3[[]]-[[Room]]	Sensor[[]]-[[Room]]	AlarmCenter[[]]-[[Room, Sensor]]	Alarm[[]]-[[Room, Sensor]]	Alarm[[]]-[[Room, Sensor]]	SmokeDetector[[]]-[[Room, Sensor]]	SmokeDetector[[]]-[[Room, Sensor]]	SmokeDetector[[smokeAlarm]]-[[Room, Sensor]]	SmokeDetector[[smokeAlarm, checkSmoke]]-[[Room, Sensor]]	SmokeDetector[[smokeAlarm]]-[[Room, Sensor]]	SmokeDetector[[]]-[[Room, Sensor]]	SmokeDetector[[smokeAlarm]]-[[Room, Sensor]]
alarmMsg	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,275	0,275	0,0	0,0	0,0	0,0	0,0	0,0	0,0
phrase:	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,18600000000000003	0,18600000000000003	0,522	0,522	0,522	0,522	0,522	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
poids	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,04048514719197517	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
password	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,21092609093309456	0,34301670386628264	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,30000000000000004	0,35850293901020625	0,3998862502097262	0,3998862502097262	0,3491401595048088	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
timeStart	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,27825	0,27825	0,0	0,0	0,0	0,0	0,0	0,0	0,0
sensorType	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,5984610649430594	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
ackSystemId	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,275	0,275	0,0	0,0	0,0	0,0	0,0	0,0	0,0
idSensor	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,17908266429497496	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
state	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,3033681129400547	0,3033681129400547	0,0	0,0	0,0	0,0	0,0	0,0	0,0
height	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,30975	0,0	0,30975	0,0	0,06804213702433258	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
